,galex_objid,sdss_objid,ra,dec,u,g,r,i,z,nuv_mag,fuv_mag,classs,subclass
5344,6.37873E+18,1.23767E+18,185.3064087,20.85453822,24.38455582,22.09344292,21.96072578,22.29318237,21.5411377,22.39618874,-999,QSO,null
5350,6.37862E+18,1.23767E+18,196.5945256,25.85679409,22.03629112,21.29192543,21.56076431,21.3810997,21.02712631,22.73244476,-999,QSO,BROADLINE
5351,3.19172E+18,1.23767E+18,195.8147717,26.99052244,22.52412033,21.60974121,21.20236778,21.02653503,20.54509735,24.01264,-999,QSO,null
5352,3.15604E+18,1.23767E+18,183.8700391,22.32274177,23.47150803,21.88923836,20.24140167,19.32310104,18.81862068,23.7609539,-999,QSO,BROADLINE
5353,6.37482E+18,1.23767E+18,177.0361649,28.17716071,24.07352829,21.74576378,21.52978134,21.7558918,21.76284981,22.60835266,-999,STAR,F0IV (81937)
5359,6.37873E+18,1.23767E+18,184.6928773,21.45674784,21.94726563,20.77574158,20.67530823,20.59255219,20.24891472,22.17245865,-999,STAR,F3/F5V (30743)
5361,3.05682E+18,1.23767E+18,187.0512288,23.08874532,21.51013947,20.95301819,20.73451614,20.70153236,20.8748455,23.78151512,-999,QSO,BROADLINE
5362,3.05682E+18,1.23767E+18,186.8912449,22.75932885,22.21822929,20.62547302,20.41668129,20.59005737,20.33099747,24.07337379,-999,QSO,BROADLINE
5364,6.37873E+18,1.23767E+18,185.2084985,23.4360248,20.83011627,20.36201859,20.4034462,20.3737812,20.08091736,21.35370445,-999,QSO,BROADLINE
5365,6.37486E+18,1.23767E+18,177.3207183,28.89941753,19.99073029,20.20044136,20.19884682,19.94259453,19.70064163,-999,21.73222923,QSO,BROADLINE
5367,6.37862E+18,1.23767E+18,200.9302077,22.59372854,22.27719688,21.74753571,20.35370064,19.47371292,19.23836708,-999,22.09879494,QSO,null
5369,3.05415E+18,1.23767E+18,195.88181,27.38387491,22.3712883,20.86198616,20.78702736,20.70115089,20.64117432,23.96879196,-999,STAR,F0III (89025)
5370,6.37873E+18,1.23767E+18,185.8659942,24.47921951,20.65038109,20.14371872,20.12077713,20.01722527,19.70485687,21.41693497,-999,QSO,BROADLINE
5371,6.37489E+18,1.23767E+18,197.5914727,31.08014545,20.69408035,20.19189453,20.22700119,20.2526474,20.04882813,21.8285656,22.20622063,QSO,BROADLINE
5372,3.24291E+18,1.23767E+18,188.805466,25.77008985,22.31875038,21.50841904,21.42237473,21.46047974,21.0624485,24.72306633,-999,QSO,BROADLINE
5374,2.54162E+18,1.23767E+18,196.6311945,29.9611557,21.6907444,21.0710907,21.10442162,21.14037704,20.51753616,24.5861969,-999,QSO,BROADLINE
5382,3.04584E+18,1.23767E+18,195.1556961,33.23475241,23.89183426,21.19954681,20.93123055,20.84406471,20.63750267,23.85058975,-999,STAR,B5 (338529)
5385,3.86539E+18,1.23767E+18,195.8704449,33.7416151,22.36206245,21.29023743,20.25246239,19.47173882,19.06393051,22.62195969,-999,QSO,AGN BROADLINE
5388,3.86472E+18,1.23767E+18,194.8741939,31.9668663,22.36703491,21.89060593,21.8691597,21.75762367,20.87582207,23.87654495,-999,QSO,null
5389,3.86472E+18,1.23767E+18,195.0951005,31.52175119,21.58982468,21.27337646,21.30094147,21.25134468,21.13995171,23.92233849,-999,QSO,null
5394,3.86694E+18,1.23767E+18,200.1731226,30.62673152,22.03452301,21.07376862,21.0581646,21.0112915,20.86239815,23.31448174,-999,STAR,B5III (209419)
5395,6.37489E+18,1.23767E+18,192.0223565,31.58003221,20.99976921,20.35747719,20.40587997,20.35983086,20.13376999,21.69926071,-999,QSO,BROADLINE
5397,6.37932E+18,1.23767E+18,201.8573064,30.69139748,20.06692696,19.6466465,19.50642776,19.29177666,18.98175812,22.32051468,-999,QSO,BROADLINE
5399,6.37489E+18,1.23767E+18,193.4863465,32.81892112,21.95016098,20.7796669,20.81226921,20.70078278,20.35931015,21.84350395,-999,QSO,BROADLINE
5400,6.37932E+18,1.23767E+18,199.5201455,30.59621148,20.34416008,19.8622551,19.74889183,19.80580902,19.46421051,21.69772911,-999,QSO,BROADLINE
5401,6.37932E+18,1.23767E+18,198.7826145,32.40190086,21.16770172,20.53679848,20.47594261,20.53570557,20.31592369,21.59079933,-999,QSO,BROADLINE
5405,6.37468E+18,1.23766E+18,185.5796996,40.51814828,22.54930878,21.23266983,21.1795578,20.92196465,20.85407829,22.44618607,-999,QSO,null
5407,6.37932E+18,1.23767E+18,197.8185329,30.34254266,20.5219059,20.48358154,20.13072014,20.11582184,19.86281967,21.44573593,-999,QSO,BROADLINE
5409,3.15083E+18,1.23767E+18,202.6851434,29.37640896,22.34411812,21.59222031,21.26850319,21.20121574,20.76421928,23.34346962,-999,QSO,null
5417,3.08046E+18,1.23767E+18,201.2353565,31.53652273,21.12862778,20.52861023,20.27562141,20.19498825,20.08718681,23.57195282,-999,QSO,BROADLINE
5425,3.86986E+18,1.23767E+18,207.7736591,29.77093989,26.14059448,22.01233101,20.19197845,19.17273331,18.85783195,22.91326141,-999,QSO,null
5426,6.37932E+18,1.23767E+18,204.9288439,29.39572588,26.58094978,21.26452827,20.1391983,19.33728027,19.0133934,22.25322151,-999,QSO,BROADLINE
5431,6.37932E+18,1.23767E+18,206.9926728,30.31177414,21.48174667,21.11412048,21.01352119,20.94106293,20.9698925,22.51156235,-999,QSO,null
5438,3.05633E+18,1.23767E+18,179.2902526,30.12416944,22.16434669,21.74496269,21.78238869,21.54342651,21.45024872,24.31384087,-999,QSO,null
