galex_objid,sdss_objid,ra,dec,u,g,r,i,z,nuv_mag,fuv_mag,classs,subclass
3.0615E+18,1.23767E+18,182.9026432,20.7831305,23.76028252,22.0617485,20.56576729,19.66098022,19.15519142,24.28422165,-999,GALAXY,null
3.0615E+18,1.23767E+18,182.7420605,20.9531685,23.85286713,22.71254349,21.00815201,19.89411545,19.46127892,23.35429764,-999,GALAXY,null
3.0615E+18,1.23767E+18,183.2030007,20.78815895,19.468256,18.61605453,18.46087074,18.36748505,18.27729607,22.01842117,23.15877533,QSO,BROADLINE
3.0615E+18,1.23767E+18,182.7149555,20.92455176,21.56237221,21.11973572,21.01972961,21.03610229,20.48304558,23.11947823,23.80862236,QSO,BROADLINE
3.06164E+18,1.23767E+18,188.9419766,20.21462164,21.46237183,19.45749474,17.80034637,17.18017006,16.74428368,22.81155396,-999,GALAXY,null
3.06164E+18,1.23767E+18,188.9667403,20.26101748,22.47559547,21.34918404,21.26118279,21.19134712,21.14282417,22.42301941,-999,STAR,F0III (89025)
3.06164E+18,1.23767E+18,188.9561202,20.29861992,19.21836662,17.72028351,17.09066582,16.79121208,16.73851395,21.82948875,-999,STAR,G2
3.06164E+18,1.23767E+18,188.2612018,20.44699554,24.98489189,21.95012856,21.68276787,21.57138443,21.25641441,23.74571609,-999,STAR,B5 (338529)
3.06164E+18,1.23767E+18,187.7781958,20.01153008,19.37940979,17.88930511,17.30480003,16.96011925,16.82690811,19.75206375,20.13268852,GALAXY,STARFORMING
3.06164E+18,1.23767E+18,188.1429733,20.09184963,20.97868156,20.48731613,20.47500038,20.41991997,20.42566109,22.96236038,22.74799347,QSO,BROADLINE
3.06164E+18,1.23767E+18,188.019937,20.2536919,19.57900047,18.28890228,17.68121147,17.34521484,17.09674644,20.57348251,20.97439003,GALAXY,STARFORMING
3.06164E+18,1.23767E+18,187.9852509,20.44793887,19.26442909,18.072649,17.5796814,17.26562881,17.08710289,20.14434433,20.38358879,GALAXY,STARFORMING
3.06164E+18,1.23767E+18,188.1252273,20.46554968,19.00154305,17.82369232,17.32320786,17.03167725,16.83607674,20.28836441,20.65288734,GALAXY,STARFORMING
3.06164E+18,1.23767E+18,188.1603084,20.57882341,20.24082947,18.69360352,17.82040977,17.33394623,17.0065136,21.68404198,21.97471809,GALAXY,STARFORMING
3.06171E+18,1.23767E+18,191.5527582,30.82956922,21.54780769,20.9002037,19.04453278,18.32761574,17.81719971,23.91902733,-999,GALAXY,null
3.06171E+18,1.23767E+18,191.1863381,30.98744359,21.74168396,19.87808418,18.3387413,17.77727509,17.39438057,23.53589058,-999,GALAXY,null
